xField[m],yField[m]
0.000000,72.000000
0.000000,0.000000
118.000000,0.000000
118.000000,72.000000
time[ISO-UTC],xPos[m],yPos[m],Latitude[deg],Longitude[deg],speed[km/h],hr[bpm],numSatFix[-],hdop[-]
20181031T183154300,54.253229,43.695404,46.371433,6.228531,2.954880,1.063082e+02,NaN,NaN
20181031T183154400,54.275662,43.603117,46.371433,6.228532,3.003840,1.063082e+02,NaN,NaN
20181031T183154500,54.257217,43.541729,46.371433,6.228533,3.059640,1.063082e+02,NaN,NaN
20181031T183154600,54.283168,43.442597,46.371432,6.228534,3.228480,1.063082e+02,NaN,NaN
20181031T183154700,54.315488,43.355391,46.371432,6.228535,3.393000,1.063082e+02,NaN,NaN
20181031T183154800,54.364730,43.259579,46.371432,6.228537,3.515760,1.063082e+02,NaN,NaN
20181031T183154900,54.421006,43.150079,46.371432,6.228538,3.633480,1.063082e+02,NaN,NaN
20181031T183155000,54.430035,43.059553,46.371432,6.228539,3.541320,1.064610e+02,NaN,NaN
20181031T183155100,54.445434,42.980953,46.371432,6.228540,3.401280,1.064610e+02,NaN,NaN
20181031T183155200,54.431172,42.887109,46.371431,6.228541,3.343680,1.064610e+02,NaN,NaN
20181031T183155300,54.426796,42.798346,46.371431,6.228542,3.367080,1.064610e+02,NaN,NaN
20181031T183155400,54.362434,42.704708,46.371430,6.228543,3.436560,1.064610e+02,NaN,NaN
20181031T183155500,54.311476,42.609307,46.371429,6.228544,3.533760,1.064610e+02,NaN,NaN
20181031T183155600,54.276774,42.530913,46.371429,6.228544,3.556080,1.064610e+02,NaN,NaN
20181031T183155700,54.292173,42.452312,46.371429,6.228546,3.540600,1.064610e+02,NaN,NaN
20181031T183155800,54.307572,42.373712,46.371428,6.228547,3.491640,1.065208e+02,NaN,NaN
20181031T183155900,54.345597,42.324043,46.371428,6.228547,3.312720,1.065208e+02,NaN,NaN
20181031T183156000,54.411096,42.245237,46.371429,6.228549,3.309840,1.065208e+02,NaN,NaN
20181031T183156100,54.453303,42.163112,46.371429,6.228550,3.333600,1.065208e+02,NaN,NaN
20181031T183156200,54.471554,42.103281,46.371429,6.228551,3.273840,1.065208e+02,NaN,NaN
20181031T183156300,54.486953,42.024681,46.371428,6.228552,3.215880,1.065208e+02,NaN,NaN
20181031T183156400,54.482577,41.935918,46.371428,6.228553,3.134880,1.065208e+02,NaN,NaN
20181031T183156500,54.471832,41.835230,46.371427,6.228554,3.097440,1.065208e+02,NaN,NaN
20181031T183156600,54.444830,41.717536,46.371427,6.228555,3.128040,1.065208e+02,NaN,NaN
20181031T183156700,54.417164,41.625454,46.371426,6.228556,3.187080,1.065092e+02,NaN,NaN
20181031T183156800,54.409936,41.517922,46.371426,6.228557,3.267360,1.065092e+02,NaN,NaN
20181031T183156900,54.408413,41.447928,46.371425,6.228558,3.320280,1.065092e+02,NaN,NaN
20181031T183157000,54.425999,41.413709,46.371425,6.228558,3.206880,1.065092e+02,NaN,NaN
20181031T183157100,54.440733,41.360722,46.371425,6.228559,3.080880,1.065092e+02,NaN,NaN
20181031T183157200,54.468207,41.331584,46.371425,6.228560,2.993040,1.065092e+02,NaN,NaN
20181031T183157300,54.528858,41.310847,46.371426,6.228560,2.919600,1.065092e+02,NaN,NaN
20181031T183157400,54.616319,41.286585,46.371426,6.228561,2.890800,1.065092e+02,NaN,NaN
20181031T183157500,54.674118,41.247079,46.371427,6.228562,2.833200,1.064749e+02,NaN,NaN
20181031T183157600,54.748839,41.198967,46.371427,6.228563,2.749680,1.064749e+02,NaN,NaN
20181031T183157700,54.786200,41.174911,46.371427,6.228563,2.591280,1.064749e+02,NaN,NaN
20181031T183157800,54.793899,41.135611,46.371427,6.228564,2.370240,1.064749e+02,NaN,NaN
20181031T183157900,54.807968,41.108236,46.371427,6.228564,2.194920,1.064749e+02,NaN,NaN
20181031T183158000,54.798746,41.077542,46.371427,6.228564,2.077560,1.064749e+02,NaN,NaN
20181031T183158100,54.800075,41.026317,46.371427,6.228565,2.032200,1.064749e+02,NaN,NaN
20181031T183158200,54.780966,40.990541,46.371426,6.228565,2.005200,1.064749e+02,NaN,NaN
20181031T183158300,54.749117,40.930916,46.371426,6.228566,2.025720,1.064327e+02,NaN,NaN
20181031T183158400,54.711564,40.833753,46.371425,6.228567,2.075400,1.064327e+02,NaN,NaN
20181031T183158500,54.703671,40.751834,46.371425,6.228568,2.090520,1.064327e+02,NaN,NaN
20181031T183158600,54.685891,40.664833,46.371424,6.228569,2.103120,1.064327e+02,NaN,NaN
20181031T183158700,54.690738,40.606764,46.371424,6.228569,2.148480,1.064327e+02,NaN,NaN
20181031T183158800,54.680851,40.601683,46.371424,6.228569,2.148840,1.064327e+02,NaN,NaN
20181031T183158900,54.684368,40.594839,46.371424,6.228569,2.111760,1.064327e+02,NaN,NaN
20181031T183159000,54.691403,40.581152,46.371424,6.228569,2.085120,1.064327e+02,NaN,NaN
20181031T183159100,54.694920,40.574308,46.371424,6.228570,1.990800,1.064327e+02,NaN,NaN
20181031T183159200,54.728763,40.557096,46.371424,6.228570,1.953720,1.064092e+02,NaN,NaN
20181031T183159300,54.761942,40.565496,46.371424,6.228570,1.870560,1.064092e+02,NaN,NaN
20181031T183159400,54.808525,40.572134,46.371425,6.228570,1.721520,1.064092e+02,NaN,NaN
20181031T183159500,54.901690,40.585410,46.371426,6.228571,1.701000,1.064092e+02,NaN,NaN
20181031T183159600,54.977934,40.607291,46.371426,6.228571,1.711080,1.064092e+02,NaN,NaN
20181031T183159700,55.071099,40.620567,46.371427,6.228571,1.773720,1.064092e+02,NaN,NaN
20181031T183159800,55.131086,40.625443,46.371428,6.228572,1.861920,1.064092e+02,NaN,NaN
20181031T183159900,55.185368,40.592780,46.371428,6.228572,2.005200,1.064092e+02,NaN,NaN
20181031T183200000,55.243168,40.553275,46.371428,6.228573,2.181600,1.064155e+02,NaN,NaN
20181031T183200100,55.284710,40.496762,46.371428,6.228574,2.359800,1.064155e+02,NaN,NaN
20181031T183200200,55.346692,40.424800,46.371429,6.228575,2.539080,1.064155e+02,NaN,NaN
20181031T183200300,55.402303,40.340912,46.371429,6.228576,2.717280,1.064155e+02,NaN,NaN
20181031T183200400,55.479019,40.215963,46.371429,6.228578,2.946240,1.064155e+02,NaN,NaN
20181031T183200500,55.538148,40.125231,46.371429,6.228580,3.034440,1.064155e+02,NaN,NaN
20181031T183200600,55.593094,40.066957,46.371429,6.228581,3.000240,1.064155e+02,NaN,NaN
20181031T183200700,55.644524,40.015526,46.371429,6.228582,2.945880,1.064155e+02,NaN,NaN
20181031T183200800,55.698806,39.982863,46.371430,6.228582,2.943720,1.064741e+02,NaN,NaN
20181031T183200900,55.760123,39.936514,46.371430,6.228583,2.943360,1.064741e+02,NaN,NaN
20181031T183201000,55.824292,39.908933,46.371430,6.228584,2.934000,1.064741e+02,NaN,NaN
20181031T183201100,55.928674,39.876065,46.371431,6.228585,3.022200,1.064741e+02,NaN,NaN
20181031T183201200,56.049313,39.860203,46.371432,6.228586,3.144960,1.064741e+02,NaN,NaN
20181031T183201300,56.124034,39.812091,46.371432,6.228587,3.187800,1.064741e+02,NaN,NaN
20181031T183201400,56.184685,39.791354,46.371433,6.228588,3.076560,1.064741e+02,NaN,NaN
20181031T183201500,56.253701,39.705704,46.371433,6.228589,3.082320,1.064741e+02,NaN,NaN
20181031T183201600,56.278322,39.657798,46.371433,6.228590,3.054240,1.064741e+02,NaN,NaN
20181031T183201700,56.331082,39.555142,46.371433,6.228591,3.088080,1.066148e+02,NaN,NaN
20181031T183201800,56.397910,39.425110,46.371433,6.228593,3.195720,1.066148e+02,NaN,NaN
20181031T183201900,56.455516,39.264385,46.371433,6.228595,3.414600,1.066148e+02,NaN,NaN
20181031T183202000,56.522344,39.134354,46.371433,6.228597,3.558960,1.066148e+02,NaN,NaN
20181031T183202100,56.555329,39.021535,46.371432,6.228599,3.544560,1.066148e+02,NaN,NaN
20181031T183202200,56.617976,38.923960,46.371433,6.228600,3.435480,1.066148e+02,NaN,NaN
20181031T183202300,56.686992,38.838310,46.371433,6.228601,3.322440,1.066148e+02,NaN,NaN
20181031T183202400,56.735569,38.768111,46.371433,6.228603,3.221640,1.066148e+02,NaN,NaN
20181031T183202500,56.790516,38.709836,46.371433,6.228604,3.064680,1.068006e+02,NaN,NaN
20181031T183202600,56.888528,38.665043,46.371434,6.228605,3.125160,1.068006e+02,NaN,NaN
20181031T183202700,56.999945,38.618487,46.371434,6.228606,3.187080,1.068006e+02,NaN,NaN
20181031T183202800,57.066966,38.609675,46.371435,6.228606,3.188520,1.068006e+02,NaN,NaN
20181031T183202900,57.121248,38.577013,46.371435,6.228607,3.009960,1.068006e+02,NaN,NaN
20181031T183203000,57.165643,38.539269,46.371435,6.228608,2.861640,1.068006e+02,NaN,NaN
20181031T183203100,57.197299,38.477676,46.371435,6.228609,2.791800,1.068006e+02,NaN,NaN
20181031T183203200,57.208515,38.431532,46.371435,6.228609,2.741040,1.068006e+02,NaN,NaN
20181031T183203300,57.223249,38.378544,46.371435,6.228610,2.719440,1.070671e+02,NaN,NaN
20181031T183203400,57.249865,38.253800,46.371435,6.228612,2.848320,1.070671e+02,NaN,NaN
20181031T183203500,57.262411,38.156431,46.371435,6.228613,2.940120,1.070671e+02,NaN,NaN
20181031T183203600,57.302431,38.029925,46.371434,6.228614,2.977200,1.070671e+02,NaN,NaN
20181031T183203700,57.324864,37.937637,46.371434,6.228616,2.889000,1.070671e+02,NaN,NaN
20181031T183203800,57.366407,37.881125,46.371434,6.228617,2.797200,1.070671e+02,NaN,NaN
20181031T183203900,57.407949,37.824613,46.371434,6.228618,2.728800,1.070671e+02,NaN,NaN
20181031T183204000,57.455197,37.805638,46.371435,6.228618,2.659320,1.070671e+02,NaN,NaN
20181031T183204100,57.501779,37.812276,46.371435,6.228618,2.593440,1.070671e+02,NaN,NaN
20181031T183204200,57.558249,37.823995,46.371436,6.228618,2.527200,1.073583e+02,NaN,NaN
20181031T183204300,57.641528,37.832189,46.371436,6.228619,2.571480,1.073583e+02,NaN,NaN
20181031T183204400,57.744580,37.850547,46.371437,6.228619,2.617200,1.073583e+02,NaN,NaN
20181031T183204500,57.851814,37.836447,46.371438,6.228620,2.684880,1.073583e+02,NaN,NaN
20181031T183204600,57.949827,37.791654,46.371439,6.228621,2.688120,1.073583e+02,NaN,NaN
20181031T183204700,58.017513,37.757230,46.371439,6.228622,2.718000,1.073583e+02,NaN,NaN
20181031T183204800,58.050692,37.765630,46.371439,6.228622,2.651040,1.073583e+02,NaN,NaN
20181031T183204900,58.081682,37.729649,46.371439,6.228623,2.649960,1.073583e+02,NaN,NaN
20181031T183205000,58.102786,37.688587,46.371439,6.228623,2.684880,1.076302e+02,NaN,NaN
20181031T183205100,58.127407,37.640680,46.371439,6.228624,2.738880,1.076302e+02,NaN,NaN
20181031T183205200,58.125884,37.570686,46.371439,6.228625,2.837160,1.076302e+02,NaN,NaN
20181031T183205300,58.148317,37.478399,46.371439,6.228626,2.932920,1.076302e+02,NaN,NaN
20181031T183205400,58.191190,37.370661,46.371439,6.228627,2.956320,1.076302e+02,NaN,NaN
20181031T183205500,58.199554,37.305748,46.371439,6.228628,2.859480,1.076302e+02,NaN,NaN
